id,x_peak,y_peak,peak_value
1,8536,294,3133.2354
2,8537,304,3094.399
3,2395,311,2330.1753
4,4248,311,2168.4482
5,5592,313,2195.599
6,8255,323,1604.3057
7,8537,327,2604.029
8,1066,334,1460.3223
9,3386,334,1051.9667
10,8539,345,2659.8276
11,8540,378,2473.703
12,268,382,3083.2676
13,8538,419,2377.5278
14,8538,500,2286.8352
15,8538,513,2299.2183
16,8537,523,2522.4512
17,91,550,1245.5109
18,8537,595,3500.5173
19,8544,615,2216.6323
20,8550,633,2420.8562
21,8551,641,2618.2146
22,8542,654,3165.478
23,8556,657,3029.373
24,8530,659,2821.268
25,8546,678,2248.1675
26,8550,690,2345.6204
27,8546,708,2712.669
28,7923,727,2088.5713
29,7931,727,2251.796
30,8546,728,2164.3665
31,4352,850,2341.0261
32,4042,859,1401.1123
33,9912,914,2565.3591
34,3798,939,2317.5251
35,6054,946,1488.5529
36,5199,1006,2845.1892
37,7230,1195,2378.5916
38,7222,1203,2388.2148
39,883,1227,3072.5464
40,10307,1246,3965.7378
41,10255,1247,1264.8013
42,10295,1247,3896.702
43,8602,1390,2779.802
44,8586,1397,2778.7012
45,8603,1398,2748.4446
46,5136,1404,2454.9976
47,10164,1511,5274.775
48,5064,1516,2742.0178
49,6124,1540,1846.999
50,6136,1541,1885.9874
51,6123,1551,1691.0548
52,5713,1569,1247.2942
53,360,1573,5633.685
54,5714,1579,1383.8927
55,7986,1602,2770.4404
56,5707,1607,2433.8835
57,5722,1618,2573.1892
58,2842,1621,1453.1805
59,5714,1644,1525.243
60,5714,1677,1151.5554
61,7033,1796,1584.4353
62,5303,1802,1513.5089
63,2722,1831,2222.306
64,6154,1845,2277.8765
65,6142,1846,2172.2126
66,8128,1861,2231.572
67,8301,1929,2201.864
68,8298,1938,3371.4385
69,8334,2002,3673.5625
70,9110,2007,2787.7344
71,9935,2008,1954.5005
72,7790,2041,1369.7439
73,7452,2046,2271.9727
74,8006,2065,1354.4551
75,8323,2120,1417.4403
76,1533,2132,3426.478
77,9046,2135,2709.1843
78,6021,2183,1652.5563
79,7316,2189,2477.8635
80,1645,2247,2572.1648
81,4258,2262,2764.008
82,4256,2272,2744.3147
83,2963,2278,2650.1924
84,1890,2280,2240.106
85,2966,2287,2712.0974
86,1957,2336,2690.9668
87,1948,2342,2746.6174
88,1958,2345,2517.7446
89,6529,2386,2315.7073
90,3108,2395,2628.8967
91,3116,2395,2706.2212
92,2896,2397,1810.9487
93,259,2431,1038.4242
94,1266,2467,1474.6407
95,102,2508,4445.3037
96,5793,2520,2721.9702
97,465,2527,5129.0176
98,9336,2544,1767.6688
99,3145,2552,2458.6719
100,8399,2565,3649.1455
101,4967,2624,3699.3586
102,696,2629,4993.4365
103,686,2632,4298.2046
104,4959,2654,3731.1973
105,6426,2679,1750.3694
106,6757,2776,2335.6807
107,6195,2778,1798.7235
108,5817,2848,1198.7118
109,5834,2904,1122.0364
110,5834,2912,1117.4279
111,3765,2952,1398.7087
112,8834,2955,1037.032
113,5842,2958,3869.396
114,5822,2961,2564.2834
115,8834,2978,1301.9884
